block,Fence,Round,Time,Date,Water,Food,Cover,Mh,ATS,crop_pop,fence_pop,r.month,propcov,Std,biomass,FenceBio,CropBio,Grain,lower,upper
NA,1,0,0,2004-07-12,Y,Y,Y,7,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,2004-08-27,Y,Y,Y,15,21.79,37.14535485,8.770079468,NA,0.35,1,600,1.725,1.125,48.6,15,28
1,1,2,2,2004-10-22,Y,Y,Y,38,27.85,64.77697891,1.418653814,0.51,0.45,2.533333333,557,1.525,2.575,48.6,31,53
1,1,3,3,2004-12-20,Y,Y,Y,19,8.83,5.737686861,11.80247207,-0.36,0.2,1.266666667,534,1.445,2.445,48.6,14,31
1,1,4,4,2005-02-07,Y,Y,Y,25,22.66,21.74417287,23.732891,0.17,0.2,1.666666667,538,1.475,2.297,48.6,21,38
1,1,5,5,2005-04-11,Y,Y,Y,86,36.65,13.46664669,65.31258267,0.61,0.25,5.733333333,529,1.43,2.17,48.6,70,113
1,1,6,6,2005-06-07,Y,Y,Y,59,33.12,7.351425654,54.38913513,-0.19,0.1,3.933333333,472,1.185,1.8,48.6,46,82
NA,2,0,0,2004-07-12,Y,N,N,3,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,1,1,2004-08-27,Y,N,N,5,6.5,4.255961442,8.977764459,NA,0.15,1,556,1.575,0.825,75.8,5,18
1,2,2,2,2004-10-22,Y,N,N,11,7.36,11.80247207,2.837307628,0.43,0.3,2.2,544,1.475,1.975,75.8,9,21
1,2,3,3,2004-12-20,Y,N,N,10,6.45,0,13.65686194,-0.05,0.2,2,526,1.4,2.09,75.8,8,20
1,2,4,4,2005-02-07,Y,N,N,18,11.25,7.21941228,15.13858736,0.37,0.65,3.6,577,1.625,1.885,75.8,14,30
1,2,5,5,2005-04-11,Y,N,N,43,17.71,11.02713848,20.7968204,0.43,0.8,8.6,638,1.84,1.225,75.8,33,64
1,2,6,6,2005-06-07,Y,N,N,4,6.49,0,14.97947807,-1.19,0.35,0.8,525,1.44,1.185,75.8,3,18
NA,3,0,0,2004-07-12,Y,Y,N,5,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,3,1,1,2004-08-27,Y,Y,N,11,7.25,9.20581552,5.800758466,NA,0.2,1,701,2.1,0.75,50.4,9,21
4,3,2,2,2004-10-22,Y,Y,N,19,15.18,33.91227932,0,0.3,0,1.727272727,499,1.3,2.475,50.4,16,31
4,3,3,3,2004-12-20,Y,Y,N,20,11,7.21941228,15.13858736,0.03,0.25,1.818181818,529,1.425,2.1,50.4,15,32
4,3,4,4,2005-02-07,Y,Y,N,41,28.3,1.418653814,68.2889961,0.45,0.5,3.727272727,594,1.695,2.095,50.4,34,57
4,3,5,5,2005-04-11,Y,Y,N,39,27.19,2.127980721,35.18092402,-0.02,0.25,3.545454545,527,1.42,2.075,50.4,32,57
4,3,6,6,2005-06-07,Y,Y,N,43,22.88,13.8232928,19.47056453,0.05,0,3.909090909,451,1.1,1.78,50.4,33,64
NA,4,0,0,2004-07-12,N,Y,N,2,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,1,1,2004-08-27,N,Y,N,20,11.78,13.65686194,10.25180489,NA,0.05,1,582,1.65,0.525,194.9,15,33
1,4,2,2,2004-10-22,N,Y,N,14,15.07,25.25619006,5.869700235,-0.19,0.15,0.7,551,1.525,2.35,194.9,13,25
1,4,3,3,2004-12-20,N,Y,N,24,13.57,20.86692926,7.351425654,0.28,0.1,1.2,478,1.22,1.855,194.9,19,37
1,4,4,4,2005-02-07,N,Y,N,24,18.51,10.32074666,27.16147052,0,0.5,1.2,539,1.465,1.86,194.9,20,37
1,4,5,5,2005-04-11,N,Y,N,43,21.62,23.91859395,18.23215568,0.29,0,2.15,481,1.22,1.73,194.9,33,63
1,4,6,6,2005-06-07,N,Y,N,17,8.75,4.451046421,10.39641827,-0.46,0,0.85,447,1.085,1.655,194.9,12,31
NA,5,0,0,2004-07-12,N,N,Y,10,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,1,1,2004-08-27,N,N,Y,7,4.32,8.770079468,0,NA,0,1,491,1.275,0.7,95.7,5,15
1,5,2,2,2004-10-22,N,N,Y,22,13.45,25.25619006,2.837307628,0.62,0,3.142857143,493,1.275,2.15,95.7,18,35
1,5,3,3,2004-12-20,N,N,Y,5,4.84,7.351425654,2.837307628,-0.78,0,0.714285714,468,1.165,1.95,95.7,5,11
1,5,4,4,2005-02-07,N,N,Y,46,25.33,18.31559335,33.04335176,1.38,0.15,6.571428571,485,1.235,1.795,95.7,37,62
1,5,5,5,2005-04-11,N,N,Y,36,20.01,14.12025077,11.44207862,-0.12,0,5.142857143,457,1.125,1.745,95.7,28,54
1,5,6,6,2005-06-07,N,N,Y,26,14.63,8.914692854,13.42881088,-0.16,0,3.714285714,437,1.045,1.68,95.7,19,43
NA,6,0,0,2004-07-12,Y,N,Y,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,6,1,1,2004-08-27,Y,N,Y,6,6.5,8.770079468,4.255961442,NA,0.35,1,726,2.225,0.875,88.2,6,12
2,6,2,2,2004-10-22,Y,N,Y,16,12.66,25.53513171,1.418653814,0.53,0.05,2.666666667,553,1.5,2.225,88.2,13,27
2,6,3,3,2004-12-20,Y,N,Y,25,12.14,8.770079468,15.39016088,0.23,0.2,4.166666667,514,1.35,1.75,88.2,19,39
2,6,4,4,2005-02-07,Y,N,Y,38,29.73,18.23215568,44.84907889,0.26,0.5,6.333333333,548,1.48,1.81,88.2,31,54
2,6,5,5,2005-04-11,Y,N,Y,39,29.12,28.76820725,40.54651081,0.01,0.15,6.5,506,1.315,1.65,88.2,34,52
2,6,6,6,2005-06-07,Y,N,Y,27,26.87,7.288354049,49.30012531,-0.18,0.1,4.5,492,1.26,1.645,88.2,21,44
NA,7,0,0,2004-07-12,N,Y,Y,6,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,7,1,1,2004-08-27,N,Y,Y,18,14.15,28.44966102,2.837307628,NA,0.35,1,712,2.175,0.9,53.3,16,29
2,7,2,2,2004-10-22,N,Y,Y,40,29.7,61.50827181,5.737686861,0.43,0.1,2.222222222,571,1.575,2.375,53.3,33,56
